Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Compare Model Performance,FD-23,10022,Sub-task,To Do,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,,,,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 1:39 PM,30/Jan/25 1:40 PM,06/Feb/25 8:13 AM,,,0,"* Compared the performance of all models side by side to determine which model performed the best.
* Visualized model performance using appropriate plots (e.g., *ROC curves*, *Precision-Recall curves*, *Feature Importance* plots).
* Analyzed the *trade-offs* between precision and recall to ensure that the selected model minimizes both false positives and false negatives.

* *Choose Best Model*:
** After comparing the performance of all models, selected the model that performed the best based on the evaluation metrics.
** Justified the choice of the best model based on its overall performance and suitability for the fraud detection task (e.g., higher recall for fraud detection)",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00027:,,,,,,,,,,,,,,10021,Models Evaluation,To Do,30/Jan/25 1:39 PM
Models Evaluation,FD-22,10021,Task,Done,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,Done,Elif Yasarc,712020:6303d758-ce6a-4020-87c5-b88fa29b8d20,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 1:38 PM,05/Feb/25 9:18 PM,03/Feb/25 11:01 PM,03/Feb/25 11:01 PM,10/Jan/25 12:00 AM,0,"*Objective*:
The goal of this task was to write code that evaluates all trained models (Decision Tree, AdaBoost, Logistic Regression, and XGBoost) and selects the best model based on performance metrics.",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00006:,,,06/Jan/25 12:00 AM,,,,,,,,,,10008_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_379406631,,,Done,03/Feb/25 11:01 PM
Train XGBoost Model,FD-21,10020,Sub-task,To Do,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,,,,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 1:37 PM,30/Jan/25 1:37 PM,30/Jan/25 1:37 PM,,,0,"* Trained an *XGBoost* classifier, utilizing the boosted trees technique for improved performance.
* Tuned hyperparameters like {{learning_rate}}, {{max_depth}}, {{n_estimators}}, and {{subsample}} using *GridSearchCV* or *RandomizedSearchCV*.
* Evaluated the model using performance metrics like *accuracy*, *precision*, *recall*, and *F1 score*.",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001z:,,,,,,,,,,,,,,10007,Model Training,To Do,30/Jan/25 1:37 PM
Train AdaBoost Model,FD-20,10019,Sub-task,To Do,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,,,,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 1:36 PM,30/Jan/25 1:36 PM,30/Jan/25 1:36 PM,,,0,"* Trained an *AdaBoost* classifier with a base estimator (e.g., Decision Tree) to enhance weak models.
* Optimized the number of estimators ({{n_estimators}}) and learning rate.
* Evaluated performance using classification metrics (e.g., *accuracy*, *ROC AUC*)",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001r:,,,,,,,,,,,,,,10007,Model Training,To Do,30/Jan/25 1:36 PM
Feature Scaling,FD-19,10018,Sub-task,To Do,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,,,,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 1:29 PM,30/Jan/25 1:30 PM,30/Jan/25 1:30 PM,,,0,"* Performed *feature scaling* on numerical columns to standardize or normalize the data (e.g., using *StandardScaler* or *MinMaxScaler*).
* Scaling ensures that all numerical features have the same scale, which helps improve the performance of many machine learning algorithms, especially distance-based algorithms like k-NN or SVM",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00017:,,,,,,,,,,,,,,10002,Feature Engineering,To Do,30/Jan/25 1:29 PM
Descriptive Statistics for Numerical Columns and Categoric columns,FD-18,10017,Sub-task,To Do,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,,,,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 1:23 PM,30/Jan/25 1:23 PM,30/Jan/25 1:23 PM,,,0,"Generated descriptive statistics (e.g., mean, median, standard deviation, min, max, quartiles) for numerical columns to get a sense of the data’s central tendency and spread.

Visualized the distribution of numerical columns (e.g., using histograms, box plots) to identify skewness, outliers, and patterns in the data

For categorical columns, calculated the count and frequency of each category to understand the distribution and identify any imbalances in the data (e.g., using value counts or bar charts).",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000e:,,,,,,,,,,,,,,10000,EDA (Exploratory Data Analysis),To Do,30/Jan/25 1:23 PM
Categorical and Numerical Columns,FD-17,10016,Sub-task,To Do,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,,,,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 1:22 PM,30/Jan/25 1:22 PM,30/Jan/25 1:22 PM,,,0,"Separated and identified categorical and numerical columns in the dataset for appropriate analysis and visualization.

* *Categorical columns*: e.g., gender, category, payment method.
* *Numerical columns*: e.g., quantity, price, total spending, age.",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000d:,,,,,,,,,,,,,,10000,EDA (Exploratory Data Analysis),To Do,30/Jan/25 1:22 PM
Data Shape,FD-16,10015,Sub-task,To Do,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,,,,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 1:21 PM,30/Jan/25 1:22 PM,30/Jan/25 1:21 PM,,,0,Checked the shape of the dataframe to understand the number of rows and columns. This helped in assessing the size and complexity of the dataset,,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000b:,,,,,,,,,,,,,,10000,EDA (Exploratory Data Analysis),To Do,30/Jan/25 1:21 PM
Train Decision Tree Model:,FD-10,10009,Sub-task,To Do,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,,,,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 12:38 PM,30/Jan/25 1:36 PM,03/Feb/25 11:02 PM,,,0,"* Trained a *Decision Tree* classifier on the training dataset.
* Tuned hyperparameters like {{max_depth}}, {{min_samples_split}}, and {{min_samples_leaf}} using *GridSearchCV* (if applicable) to optimize model performance.
* Evaluated the model using metrics like *accuracy*, *precision*, *recall*, and *F1 score*.",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001j:,,,,,,,,,,,,,,10007,Model Training,To Do,30/Jan/25 12:38 PM
Logistic regression,FD-9,10008,Sub-task,To Do,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,,,,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 12:38 PM,30/Jan/25 1:35 PM,30/Jan/25 1:34 PM,,,0,"* Trained a *Logistic Regression* model using the training data.
* Evaluated the model using *accuracy* and other metrics (e.g., *precision*, *recall*).",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001b:,,,,,,,,,,,,,,10007,Model Training,To Do,30/Jan/25 12:38 PM
Model Training,FD-8,10007,Task,Done,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,Done,Caner Alp Tatar,5ecbf6f1aa47a00c197f749a,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 12:38 PM,05/Feb/25 9:17 PM,03/Feb/25 11:01 PM,03/Feb/25 11:01 PM,05/Jan/25 12:00 AM,0,"The goal of this task was to build multiple machine learning models (Decision Tree, AdaBoost, Logistic Regression, and XGBoost) on the preprocessed data and evaluate their performance to identify the best model for fraud detection.",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00005:,,,01/Jan/25 12:00 AM,,,,,,,,,,10008_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_383010969,,,Done,03/Feb/25 11:01 PM
Encoding Categorical Variables,FD-7,10006,Sub-task,To Do,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,,,,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 12:37 PM,30/Jan/25 1:29 PM,30/Jan/25 1:29 PM,,,0,"* Applied encoding techniques (e.g., *One-Hot Encoding* or *Label Encoding*) to transform categorical variables into numerical format, which is necessary for machine learning models.",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00013:,,,,,,,,,,,,,,10002,Feature Engineering,To Do,30/Jan/25 12:37 PM
Detect Outliers and Handle Them,FD-6,10005,Sub-task,To Do,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,,,,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 12:37 PM,30/Jan/25 1:29 PM,30/Jan/25 1:28 PM,,,0,"* Identified outliers in numerical features (e.g., using box plots, Z-score, or IQR).
* Decided how to handle outliers: either by removing them, capping them, or transforming the data to reduce their impact on the model.",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000v:,,,,,,,,,,,,,,10002,Feature Engineering,To Do,30/Jan/25 12:37 PM
Impute Missing Values,FD-5,10004,Sub-task,To Do,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,,,,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 12:36 PM,30/Jan/25 1:28 PM,30/Jan/25 1:27 PM,,,0,"* Handled missing values in both the training and test sets using an appropriate strategy (e.g., mean/median imputation for numerical features, mode imputation for categorical features).
* This ensures that the model can be trained without issues caused by missing data.",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000n:,,,,,,,,,,,,,,10002,Feature Engineering,To Do,30/Jan/25 12:36 PM
Split Data into Train and Test,FD-4,10003,Sub-task,To Do,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,,,,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 12:36 PM,30/Jan/25 1:27 PM,30/Jan/25 1:27 PM,,,0,"* Split the dataset into *training* and *test* sets to ensure that the model is trained on a portion of the data and evaluated on unseen data.
* This step is crucial for evaluating the performance of the model and avoiding overfitting",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000f:,,,,,,,,,,,,,,10002,Feature Engineering,To Do,30/Jan/25 12:36 PM
Feature Engineering,FD-3,10002,Task,Done,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,Done,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 12:36 PM,05/Feb/25 9:17 PM,03/Feb/25 11:01 PM,03/Feb/25 11:01 PM,23/Dec/24 12:00 AM,0,"*Objective*:
The goal of this task was to perform feature engineering on the fraud detection dataset, which involved preparing the data for model training by handling missing values, detecting and handling outliers, encoding categorical variables, and scaling numerical features.",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00003:,,,19/Dec/24 12:00 AM,,,,,,,,,,10008_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_383089404,,,Done,03/Feb/25 11:01 PM
Checked Data Types:,FD-2,10001,Sub-task,To Do,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,,,,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 12:36 PM,30/Jan/25 1:21 PM,30/Jan/25 1:20 PM,,,0,"Verified the data types of each column in the dataset to ensure that they were appropriate for analysis (e.g., integers, floats, strings, dates).",,Nigar Ali,,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00007:,,,,,,,,,,,,,,10000,EDA (Exploratory Data Analysis),To Do,30/Jan/25 12:36 PM
EDA (Exploratory Data Analysis),FD-1,10000,Task,Done,FD,Fraud Detection,business,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,Medium,Done,Ahmet Yazgan,712020:b503704a-341c-4691-95ad-ba7a8871cd87,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,Nigar Ali,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,30/Jan/25 12:35 PM,05/Feb/25 9:17 PM,30/Jan/25 11:13 PM,30/Jan/25 11:12 PM,17/Dec/24 12:00 AM,0,"*Objective*:
The goal of this task was to perform exploratory data analysis (EDA) on the fraud detection dataset to better understand the data and prepare it for the next stages of the project.

*Steps Taken*:

# *Checked Data Types*:
#* Verified the data types of each column in the dataset to ensure that they were appropriate for analysis (e.g., integers, floats, strings, dates).
# *Data Shape*:
#* Checked the shape of the dataframe to understand the number of rows and columns. This helped in assessing the size and complexity of the dataset.
# *Count of Missing Values*:
#* Identified and counted missing values in each column to understand the extent of any data quality issues and decide how to handle them (e.g., imputation, removal).
# *Categorical and Numerical Columns*:
#* Separated and identified categorical and numerical columns in the dataset for appropriate analysis and visualization.
#** *Categorical columns*: e.g., gender, category, payment method.
#** *Numerical columns*: e.g., quantity, price, total spending, age.
# *Descriptive Statistics for Numerical Columns*:
#* Generated descriptive statistics (e.g., mean, median, standard deviation, min, max, quartiles) for numerical columns to get a sense of the data’s central tendency and spread.
# *Distribution of Numerical Columns*:
#* Visualized the distribution of numerical columns (e.g., using histograms, box plots) to identify skewness, outliers, and patterns in the data.
# *Descriptive Statistics for Categorical Columns*:
#* For categorical columns, calculated the count and frequency of each category to understand the distribution and identify any imbalances in the data (e.g., using value counts or bar charts).",,Ahmet Yazgan,Nigar Ali,712020:b503704a-341c-4691-95ad-ba7a8871cd87,712020:d750a061-1f45-40d9-a4c5-82aa737589f1,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzz:,,,15/Dec/24 12:00 AM,,,,,,,,,,10008_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_38178571,,,Done,30/Jan/25 11:12 PM
